id,calories,proteins,fat,carbohydrate,name,image
1,160,2,14.6,8.5,Alpukat,https://storage.googleapis.com/smartbite_bucket/food_images/alpukat.jpg
2,260,21.9,12.5,10.7,Ayam Goreng,https://storage.googleapis.com/smartbite_bucket/food_images/ayam%20goreng.jpg
3,202,12.41,13.2,13.16,Bakso,https://storage.googleapis.com/smartbite_bucket/food_images/bakso.jpg
4,40,0.8,0.08,9.6,Bawang Bombai,https://storage.googleapis.com/smartbite_bucket/food_images/bawang-bombay.jpg
5,42,0.9,0.08,10.1,Bawang Merah,https://storage.googleapis.com/smartbite_bucket/food_images/bawang-merah.jpg
6,149,6.3,0.5,33,Bawang Putih,https://storage.googleapis.com/smartbite_bucket/food_images/bawang-putih.jpeg
7,103,5.14,3.61,20.71,Cabe Rawit,https://storage.googleapis.com/smartbite_bucket/food_images/cabai-rawit.jpg
8,65,0.27,0.27,0.51,Mangga,https://storage.googleapis.com/smartbite_bucket/food_images/mangga.jpg
9,129,2.66,0.28,27.9,Nasi Putih,https://storage.googleapis.com/smartbite_bucket/food_images/nasi%20putih.jpg
10,89,1,0.33,22.4,Pisang,https://storage.googleapis.com/smartbite_bucket/food_images/pisang.jpeg
11,225,19.5,14.8,4.8,Sate Ayam,https://storage.googleapis.com/smartbite_bucket/food_images/sate-ayam.png
12,201,13.63,15.3,0.88,Telur Mata Sapi,https://storage.googleapis.com/smartbite_bucket/food_images/telur%20mata%20sapi.jpg
13,225,13.3,15.2,11.9,Tempe Goreng,https://storage.googleapis.com/smartbite_bucket/food_images/tempe%20goreng.jpg
14,271,17.2,20.18,10.5,Tahu Goreng,https://storage.googleapis.com/smartbite_bucket/food_images/tahu%20goreng.jpg
